,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
51,2020-04-06 0800,71.0,58.2,12.8,21.621621621622,7.318879600953956,3.9990234375,7.318879600953956,3.9111328125,122220303301.0,122220303300.0,1
52,2020-04-06 0800,605.0,351.2,253.8,72.06132879046,7.493194291140946,3.9990234375,7.493194291140946,3.9990234375,122220303121.0,122220303121.0,1
53,2020-04-06 0800,79.0,56.0,23.0,40.350877192982004,7.493194291140946,3.9990234375,7.4060455628667725,3.9990234375,122220303121.0,122220303123.0,1
54,2020-04-06 0800,454.0,280.0,174.0,61.92170818505299,7.318879600953956,3.9990234375,7.318879600953956,3.9990234375,122220303301.0,122220303301.0,1
55,2020-04-06 0800,49.0,36.4,12.6,33.689839572192994,7.493194291140946,3.9990234375,7.493194291140946,3.9111328125,122220303121.0,122220303120.0,1
56,2020-04-06 0800,124.0,178.2,-54.2,-30.245535714286,7.493194291140946,3.9990234375,7.4060455628667725,3.9111328125,122220303121.0,122220303122.0,1
57,2020-04-06 0800,34.0,26.4,7.6,27.737226277372,7.4060455628667725,3.9990234375,7.318879600953956,3.9990234375,122220303123.0,122220303301.0,1
58,2020-04-06 0800,54.0,32.2,21.8,65.66265060241,7.4060455628667725,3.9990234375,7.493194291140946,3.9990234375,122220303123.0,122220303121.0,1
59,2020-04-06 0800,34.0,30.4,3.6,11.464968152866001,7.4060455628667725,3.9990234375,7.493194291140946,3.9111328125,122220303123.0,122220303120.0,1
60,2020-04-06 0800,651.0,863.0,-212.0,-24.537037037037,7.4060455628667725,3.9990234375,7.4060455628667725,3.9111328125,122220303123.0,122220303122.0,1
61,2020-04-06 0800,38.0,63.6,-25.6,-39.628482972136,7.4060455628667725,3.9990234375,7.318879600953956,3.9111328125,122220303123.0,122220303300.0,1
62,2020-04-06 0800,13.0,16.2,-3.2,-18.604651162791,7.4060455628667725,3.9990234375,7.318879600953956,3.8232421875,122220303123.0,122220303211.0,1
63,2020-04-06 0800,3478.0,2459.2,1018.8,41.411267376636,7.4060455628667725,3.9990234375,7.4060455628667725,3.9990234375,122220303123.0,122220303123.0,1
64,2020-04-06 0800,30.0,36.6,-6.6,-17.553191489362,7.4060455628667725,3.9990234375,7.4060455628667725,3.8232421875,122220303123.0,122220303033.0,1
65,2020-04-06 1600,13.0,11.2,1.8,14.754098360655998,7.4060455628667725,4.086914062500001,7.4060455628667725,3.9111328125,122220303132.0,122220303122.0,2
66,2020-04-06 1600,35.0,31.4,3.6,11.111111111110999,7.4060455628667725,4.086914062500001,7.4060455628667725,3.9990234375,122220303132.0,122220303123.0,2
67,2020-04-06 1600,72.0,105.2,-33.2,-31.261770244821,7.318879600953956,3.8232421875,7.4060455628667725,3.9111328125,122220303211.0,122220303122.0,2
68,2020-04-06 1600,128.0,170.6,-42.6,-24.825174825175,7.318879600953956,3.9111328125,7.4060455628667725,3.8232421875,122220303300.0,122220303033.0,2
69,2020-04-06 1600,11.0,12.4,-1.4,-10.44776119403,7.493194291140946,3.9111328125,7.318879600953956,3.8232421875,122220303120.0,122220303211.0,2
