,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
11,2020-04-06 0800,22.0,14.5,7.5,48.387096774194,-4.061535299403523,39.66064453125,-4.061535299403523,39.61669921874999,3001112022310.0,3001112022301.0,1
12,2020-04-06 0800,88.0,60.3,27.7,45.187601957586004,-4.061535299403523,39.66064453125,-4.017699169865736,39.61669921875,3001112022310.0,3001112022123.0,1
13,2020-04-06 0800,4060.0,2448.8,1611.2,65.768634174218,-4.061535299403523,39.66064453125,-4.061535299403523,39.66064453125,3001112022310.0,3001112022310.0,1
14,2020-04-06 0800,70.0,30.5,39.5,125.39682539683001,-4.061535299403523,39.66064453125,-4.105369047641993,39.66064453125,3001112022310.0,3001112022312.0,1
15,2020-04-06 0800,153.0,81.4,71.6,86.893203883495,-4.061535299403523,39.66064453125,-4.017699169865736,39.70458984375,3001112022310.0,3001112022133.0,1
16,2020-04-06 0800,11.0,11.5,-0.5,-4.0,-4.061535299403523,39.66064453125,-3.9300198690258616,39.74853515625,3001112022310.0,3001112023002.0,1
17,2020-04-06 0800,98.0,76.7,21.3,27.413127413126997,-4.105369047641993,39.66064453125,-4.061535299403523,39.66064453125,3001112022312.0,3001112022310.0,1
18,2020-04-06 0800,641.0,236.1,404.9,170.77182623366002,-4.105369047641993,39.66064453125,-4.105369047641993,39.66064453125,3001112022312.0,3001112022312.0,1
19,2020-04-06 0800,29.0,35.5,-6.5,-17.808219178082,-3.9738606845603215,39.70458984374999,-4.061535299403523,39.66064453125,3001112022131.0,3001112022310.0,1
20,2020-04-06 0800,19.0,19.5,-0.5,-2.4390243902438997,-3.9738606845603215,39.74853515625,-4.017699169865736,39.70458984375,3001112023020.0,3001112022133.0,1
21,2020-04-06 0800,23.0,20.5,2.5,11.627906976744,-3.9738606845603215,39.74853515625,-4.061535299403523,39.66064453125,3001112023020.0,3001112022310.0,1
22,2020-04-06 0800,712.0,303.7,408.3,134.00065638333,-3.9300198690258616,39.74853515625,-3.9300198690258616,39.74853515625,3001112023002.0,3001112023002.0,1
23,2020-04-06 0800,48.0,28.5,19.5,66.101694915254,-3.9300198690258616,39.74853515625,-3.9738606845603215,39.74853515625,3001112023002.0,3001112023020.0,1
24,2020-04-06 0800,74.0,33.5,40.5,117.39130434783002,-4.193029298129042,39.44091796875,-4.193029298129042,39.44091796875,3001112022223.0,3001112022223.0,1
25,2020-04-06 0800,145.0,49.5,95.5,189.10891089108998,-3.84233134945817,39.48486328125,-3.84233134945817,39.48486328125,3001112020232.0,3001112020232.0,1
26,2020-04-06 0800,65.0,36.5,28.5,76.0,-3.8861767488077623,39.48486328125,-3.8861767488077623,39.48486328125,3001112022010.0,3001112022010.0,1
27,2020-04-06 0800,47.0,25.5,21.5,81.132075471698,-3.9300198690258616,39.52880859375,-3.9300198690258616,39.52880859375,3001112022013.0,3001112022013.0,1
28,2020-04-06 0800,51.0,24.5,26.5,103.92156862745001,-3.9738606845603215,39.52880859375,-3.9738606845603215,39.52880859375,3001112022031.0,3001112022031.0,1
29,2020-04-06 0800,21.0,10.4,10.6,92.982456140351,-3.9300198690258616,39.57275390624999,-3.9300198690258616,39.57275390624999,3001112022102.0,3001112022102.0,1
30,2020-04-06 0800,38.0,12.4,25.6,191.04477611939998,-4.193029298129042,39.57275390625,-4.193029298129042,39.57275390625,3001112022322.0,3001112022322.0,1
31,2020-04-06 0800,53.0,30.5,22.5,71.42857142857099,-4.017699169865736,39.70458984375,-4.017699169865736,39.66064453125,3001112022133.0,3001112022132.0,1
32,2020-04-06 0800,315.0,274.4,40.6,14.742193173566001,-4.017699169865736,39.70458984375,-4.061535299403523,39.66064453125,3001112022133.0,3001112022310.0,1
33,2020-04-06 0800,34.0,15.2,18.8,116.04938271604999,-4.017699169865736,39.70458984375,-3.9738606845603215,39.70458984374999,3001112022133.0,3001112022131.0,1
34,2020-04-06 0800,2938.0,1189.5,1748.5,146.87106257875,-4.017699169865736,39.70458984375,-4.017699169865736,39.70458984375,3001112022133.0,3001112022133.0,1
35,2020-04-06 0800,16.0,16.5,-0.5,-2.8571428571429,-4.017699169865736,39.70458984375,-3.9300198690258616,39.74853515625,3001112022133.0,3001112023002.0,1
36,2020-04-06 0800,12.0,19.5,-7.5,-36.585365853659,-4.017699169865736,39.70458984375,-3.9738606845603215,39.74853515625,3001112022133.0,3001112023020.0,1
